Streaming output truncated to the last 5000 lines.
[2022/11/04 02:11:33] ppocr INFO: epoch: [14/500], global_step: 33740, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.980215, CTCLoss: 0.342610, SARLoss: 0.676604, loss: 1.004207, avg_reader_cost: 0.31429 s, avg_batch_cost: 0.74119 s, avg_samples: 128.0, ips: 172.69458 samples/s, eta: 13 days, 11:59:21
[2022/11/04 02:19:32] ppocr INFO: epoch: [14/500], global_step: 34220, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.977646, CTCLoss: 0.378364, SARLoss: 0.696789, loss: 1.069260, avg_reader_cost: 0.75652 s, avg_batch_cost: 1.16416 s, avg_samples: 128.0, ips: 109.95085 samples/s, eta: 13 days, 11:50:10
[2022/11/04 02:19:41] ppocr INFO: epoch: [14/500], global_step: 34230, lr: 0.000999, acc: 0.886719, norm_edit_dis: 0.971486, CTCLoss: 0.557396, SARLoss: 0.750907, loss: 1.347471, avg_reader_cost: 0.39049 s, avg_batch_cost: 0.81913 s, avg_samples: 128.0, ips: 156.26304 samples/s, eta: 13 days, 11:49:14
[2022/11/04 02:19:51] ppocr INFO: epoch: [14/500], global_step: 34240, lr: 0.000999, acc: 0.875000, norm_edit_dis: 0.973121, CTCLoss: 0.572562, SARLoss: 0.740531, loss: 1.323759, avg_reader_cost: 0.57452 s, avg_batch_cost: 0.99577 s, avg_samples: 128.0, ips: 128.54393 samples/s, eta: 13 days, 11:49:22
[2022/11/04 02:19:59] ppocr INFO: epoch: [14/500], global_step: 34250, lr: 0.000999, acc: 0.875000, norm_edit_dis: 0.974777, CTCLoss: 0.508721, SARLoss: 0.701490, loss: 1.174538, avg_reader_cost: 0.44133 s, avg_batch_cost: 0.87631 s, avg_samples: 128.0, ips: 146.06706 samples/s, eta: 13 days, 11:48:47
[2022/11/04 02:20:09] ppocr INFO: epoch: [14/500], global_step: 34260, lr: 0.000999, acc: 0.847656, norm_edit_dis: 0.960336, CTCLoss: 0.695391, SARLoss: 0.763455, loss: 1.469684, avg_reader_cost: 0.53136 s, avg_batch_cost: 0.96090 s, avg_samples: 128.0, ips: 133.20856 samples/s, eta: 13 days, 11:48:43
[2022/11/04 02:20:18] ppocr INFO: epoch: [14/500], global_step: 34270, lr: 0.000999, acc: 0.789062, norm_edit_dis: 0.944510, CTCLoss: 1.035716, SARLoss: 0.843326, loss: 1.857126, avg_reader_cost: 0.46932 s, avg_batch_cost: 0.88961 s, avg_samples: 128.0, ips: 143.88386 samples/s, eta: 13 days, 11:48:13
[2022/11/04 02:20:29] ppocr INFO: epoch: [14/500], global_step: 34280, lr: 0.000999, acc: 0.792969, norm_edit_dis: 0.946232, CTCLoss: 0.921296, SARLoss: 0.825596, loss: 1.752484, avg_reader_cost: 0.64368 s, avg_batch_cost: 1.07518 s, avg_samples: 128.0, ips: 119.05007 samples/s, eta: 13 days, 11:48:49
[2022/11/04 02:20:38] ppocr INFO: epoch: [14/500], global_step: 34290, lr: 0.000999, acc: 0.824219, norm_edit_dis: 0.951183, CTCLoss: 0.735080, SARLoss: 0.764882, loss: 1.515158, avg_reader_cost: 0.46891 s, avg_batch_cost: 0.89663 s, avg_samples: 128.0, ips: 142.75681 samples/s, eta: 13 days, 11:48:22
[2022/11/04 02:20:48] ppocr INFO: epoch: [14/500], global_step: 34300, lr: 0.000999, acc: 0.843750, norm_edit_dis: 0.965515, CTCLoss: 0.644045, SARLoss: 0.736756, loss: 1.380662, avg_reader_cost: 0.58390 s, avg_batch_cost: 0.99407 s, avg_samples: 128.0, ips: 128.76386 samples/s, eta: 13 days, 11:48:29
[2022/11/04 02:20:56] ppocr INFO: epoch: [14/500], global_step: 34310, lr: 0.000999, acc: 0.855469, norm_edit_dis: 0.967009, CTCLoss: 0.559545, SARLoss: 0.750025, loss: 1.331426, avg_reader_cost: 0.43166 s, avg_batch_cost: 0.85360 s, avg_samples: 128.0, ips: 149.95388 samples/s, eta: 13 days, 11:47:46
